"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._current_page_name","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.role","player.payoff","player.settled_assets","player.available_assets","player.settled_cash","player.available_cash","group.id_in_subsession","group.ran_ready_function","subsession.round_number","subsession.period_length","subsession.num_assets","subsession.num_states","subsession.asset_endowments","subsession.cash_endowment","subsession.practice","subsession.x","subsession.G","subsession.L","subsession.p1","subsession.p2","subsession.p3","subsession.state_independent","subsession.state_a","subsession.state_b","subsession.salient_payoff","subsession.final_selected_round","subsession.num_rounds","session.code","session.label","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","subsession.asset_type"
"1",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,2,NA,1430,"{'A': 2, 'B': 4}","{'A': 2, 'B': 3}",830,830,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"2",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,4,NA,1492,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",992,952,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"3",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,7,NA,1420,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",820,820,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"4",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,6,NA,1415,"{'A': 2, 'B': 0}","{'A': 2, 'B': 0}",1215,1060,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"5",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,5,NA,1455,"{'A': 2, 'B': 2}","{'A': 2, 'B': 2}",1055,1040,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"6",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,8,NA,1358,"{'A': 1, 'B': 1}","{'A': 1, 'B': 0}",1158,1098,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"7",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,3,NA,1255,"{'A': 0, 'B': 1}","{'A': 0, 'B': 1}",1155,1052,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"8",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,1,NA,1375,"{'A': 3, 'B': 3}","{'A': 2, 'B': 3}",775,775,1,"2022-08-31 02:06:17.504705+00:00",1,240,2,3,"2 2",1000,1,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"9",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,8,NA,1550,"{'A': 4, 'B': 3}","{'A': 4, 'B': 3}",850,850,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"10",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,1,NA,1445,"{'A': 2, 'B': 1}","{'A': 2, 'B': 1}",1145,1145,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"11",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,3,NA,1460,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",860,730,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"12",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,7,NA,1290,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1290,1144,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"13",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,2,NA,1345,"{'A': 0, 'B': 2}","{'A': 0, 'B': 2}",1145,1060,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"14",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,6,NA,1275,"{'A': 1, 'B': 2}","{'A': 1, 'B': 2}",975,895,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"15",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,5,NA,1190,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1190,1135,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"16",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,4,NA,1645,"{'A': 6, 'B': 5}","{'A': 6, 'B': 5}",545,360,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"17",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,3,NA,1335,"{'A': 4, 'B': 2}","{'A': 2, 'B': 2}",775,775,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"18",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,2,NA,1450,"{'A': 0, 'B': 1}","{'A': 0, 'B': 0}",1330,1330,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"19",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,5,NA,1455,"{'A': 4, 'B': 4}","{'A': 4, 'B': 4}",655,406,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"20",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,4,NA,1358,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1358,903,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"21",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,1,NA,1366,"{'A': 3, 'B': 1}","{'A': 3, 'B': 0}",1006,916,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"22",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,8,NA,1380,"{'A': 0, 'B': 1}","{'A': 0, 'B': 0}",1260,900,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"23",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,7,NA,1305,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1305,1245,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"24",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,6,NA,1551,"{'A': 5, 'B': 7}","{'A': 5, 'B': 7}",311,151,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"25",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,5,NA,1420,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",940,940,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"26",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,4,NA,1414,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1414,1414,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"27",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,1,NA,1411,"{'A': 3, 'B': 4}","{'A': 3, 'B': 4}",691,266,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"28",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,3,NA,1471,"{'A': 2, 'B': 3}","{'A': 1, 'B': 2}",951,870,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"29",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,6,NA,1329,"{'A': 4, 'B': 1}","{'A': 4, 'B': 1}",889,889,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"30",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,7,NA,1351,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1271,1116,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"31",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,2,NA,1301,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1301,1301,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"32",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,8,NA,1503,"{'A': 3, 'B': 6}","{'A': 3, 'B': 6}",543,352,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"33",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,1,NA,1445,"{'A': 1, 'B': 2}","{'A': 0, 'B': 2}",1125,1125,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"34",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,3,NA,1380,"{'A': 2, 'B': 1}","{'A': 1, 'B': 1}",1100,1100,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"35",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,8,NA,1430,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",830,492,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"36",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,7,NA,1389,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",909,556,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"37",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,5,NA,1370,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",770,608,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"38",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,4,NA,1381,"{'A': 0, 'B': 1}","{'A': 0, 'B': 0}",1261,1056,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"39",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,2,NA,1360,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1360,1360,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"40",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,6,NA,1445,"{'A': 4, 'B': 4}","{'A': 4, 'B': 4}",645,546,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"41",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,8,NA,1088,"{'A': 0, 'B': 4}","{'A': 0, 'B': 4}",1008,1008,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"42",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,5,NA,1650,"{'A': 3, 'B': 0}","{'A': 2, 'B': 0}",1110,1110,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"43",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,4,NA,1320,"{'A': 3, 'B': 4}","{'A': 3, 'B': 4}",700,605,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"44",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,2,NA,1810,"{'A': 5, 'B': 0}","{'A': 2, 'B': 0}",910,631,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"45",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,1,NA,1391,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",791,597,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"46",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,6,NA,1475,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1295,1050,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"47",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,7,NA,1370,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1370,1204,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"48",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,3,NA,1096,"{'A': 1, 'B': 5}","{'A': 1, 'B': 5}",816,816,1,"2022-08-31 02:27:57.368161+00:00",6,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,1,1,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"49",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,4,NA,1409,"{'A': 0, 'B': 2}","{'A': 0, 'B': 1}",1209,1209,1,"2022-08-31 02:32:20.723931+00:00",7,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
